Tweet_Id,Tweet_Text
1334974953087791109,@andrewrsorkin @SantelliRants  Andrew never says what the science is....they never do!! #COVID19 #COVIDー19 #CNBC… https://t.co/eUxC1XIYeB
1334974640465317891,Dems need the Senate! #COVIDー19 recovery and pain management! https://t.co/PRwnal5gHb
1334974489210318848,"More prayer, more mindfulness.  Join us live for prayer, mindfulness and gratitude.  Palms Up in Prayer. December 1… https://t.co/9xWVbsOJam"
1334974344565579779,@KhalafSammy 5 years unless #COVIDー19 aren't taking over the countries forever.
1334974236599885825,Can anybody show a research study that proves 300 people in a big box retailer is less dangerous than 50 people in… https://t.co/zbiFfI9KvT
1334974083889569798,Much thanks to the outstanding @JHUNursing @nursingdean for leading and organizing this important discussion on the… https://t.co/eTQaxVRNCZ
1334973885343821826,@nixw20 @ecclesias Could it be karma? Probably the fact that they aren't following CDC guidelines. #WearAMask (safe… https://t.co/2o7xuMYipf
1334973691659169795,Got cleared for work Monday! Whoo hoo! So glad to get covid behind me.... Whoo hoo! I can mentally relax now.... #COVIDー19
1334973282135793667,@PatrickNova6 @realDonaldTrump @dougducey And he is not done yet. He is still focused on trying to overturn the ele… https://t.co/rd4aKTNHeb
1334973048483540992,QUARANTINE when you are exposed to #COVID19 but NOT sick or infected. ISOLATE when you ARE infected with #COVIDー19.… https://t.co/rYnMX7gP5l
1334972982326923264,"#BreakingNews 🇺🇸 Stay-at-home order issued for #SanFrancisco Bay Area, ahead of state mandate. #COVID19 #coronavirus #COVIDー19"
1334972602498969600,"Please stay INDOORS , if you step out please ' Wear your MASK ' be responsible 
It's been a little more than 9 mont… https://t.co/KAeHkI7Dv9"
1334972591904333824,"#coronavirus #COVID19 #COVID #Corona #COVIDー19

CDC quietly adjusted Covid death data, shows higher relative toll o… https://t.co/Hc00umEzOr"
1334971514244886528,If we want a really successful shut down we gone need rent and groceries taken care of simultaneously… https://t.co/FVfEoniS4j
1334971047926370304,"On 3/15, Judge Kevin Brazile reduced court operations in all 38 courthouses due to #COVIDー19, when infection rate w… https://t.co/ACuKfC0esZ"
1334970908033703942,📢 “There is no crisis of this proportion that is gender neutral.” @phumzileunwomen #COVIDー19 #UNGASS #genderjusticebeyondborders
1334970759131881477,Powerful story. #Mentalhealth is impacted by what we all bear w #COVIDー19. #selfcare and seeking help are important… https://t.co/120f3tAWd4
1334970714131206150,In the mist of a pandemic some choose to stand in line for $10 candles. Same candles/price you can purchase online.… https://t.co/k66KcYPTUC
1334970618375188482,"If you have or have had #coronavirus, would you be willing ro share, if you know, how you likely contracted it? 

M… https://t.co/BLqS0nIZ6z"
1334970319354949633,Florida #COVIDー19 #COVID Numbers Climb https://t.co/4EKl71IfH1
1334970315248705536,"@RaviSachidanand @Dank_H2O @gregggonsalves #coronavirus #Corona #COVID #COVID19 #COVIDー19 

#CrimesAgainstHumanity… https://t.co/4z5zkwLaaj"
1334969798938267649,"@giorgiopiras Hi, the unroll you asked for: @AurelianoStingi: I'm so bored and disgusted about the Italian debate a… https://t.co/oi5ifXnrKM"
1334969352811065349,"@realDonaldTrump While the #COVIDー19 death toll rises, daily, for the US citizens he took an oath to protect, the o… https://t.co/DLROxRW3lj"
1334969209504358402,"World’s Doctors Alliance President and other doctors declared #COVIDー19 pandemic as Planned-Demic 
@WHO… https://t.co/9QdZzb4xrc"
1334969083251445760,Eden is grabbing her backpack once again for a return to #school Dec. 7th for a full week of #inpersonlearning &amp; te… https://t.co/YuVDlRQZnA
